S.No.	Make	Model	Price (Ex-Showroom)	Power (bhp)	Range/Mileage	Fuel Type	Notes
Hyundai							
1	Hyundai	Creta	₹11.00 - 20.15 Lakh	113-160 bhp	17.4-21.8 kmpl	Petrol/Diesel	Current generation
2	Hyundai	Grand i10	₹6.50 - 7.60 Lakh	82 bhp	18.9 kmpl	Petrol	Discontinued, last known data
3	Hyundai	Elite i20	₹6.99 - 9.73 Lakh	82-99 bhp	20-25 kmpl	Petrol/Diesel	Pre-facelift of current i20, last known data
4	Hyundai	Verna	₹11.00 - 17.42 Lakh	113-160 bhp	18.6-20.6 kmpl	Petrol	Current generation
5	Hyundai	i-10	₹4.50 - 5.50 Lakh	68 bhp	20.3 kmpl	Petrol	Discontinued, last known data
6	Hyundai	Venue	₹7.94 - 13.48 Lakh	82-118 bhp	18.1-24.2 kmpl	Petrol/Diesel	Current generation
7	Hyundai	Santro	₹4.89 - 6.42 Lakh	68 bhp	20.3 kmpl	Petrol/CNG	Discontinued, last known data
8	Hyundai	i20	₹7.04 - 11.21 Lakh	82-118 bhp	20.0-25.2 kmpl	Petrol/Diesel	Current generation
9	Hyundai	Grand i10 Nios	₹5.92 - 8.56 Lakh	82 bhp	20.7-27.0 kmpl	Petrol/CNG	Current generation
10	Hyundai	Xcent	₹6.20 - 9.20 Lakh	82-74 bhp	20.1-24.4 kmpl	Petrol/Diesel	Discontinued, last known data
11	Hyundai	Elantra	₹17.86 - 21.23 Lakh	150 bhp	14.6 kmpl	Petrol	Discontinued, last known data
12	Hyundai	Alcazar	₹16.78 - 21.28 Lakh	114-158 bhp	18.1-20.4 kmpl	Petrol/Diesel	Current generation
13	Hyundai	Aura	₹6.49 - 9.05 Lakh	82 bhp	20.5-28.0 kmpl	Petrol/CNG	Current generation
14	Hyundai	Eon	₹3.30 - 4.70 Lakh	55-68 bhp	20.3-21.1 kmpl	Petrol/LPG	Discontinued, last known data
15	Hyundai	Tucson	₹29.21 - 35.94 Lakh	154-183 bhp	15.3-18.0 kmpl	Petrol/Diesel	Current generation
16	Hyundai	i10 Active	₹6.70 - 7.60 Lakh	82 bhp	18.9 kmpl	Petrol	Discontinued, last known data
17	Hyundai	Exter	₹6.13 - 10.28 Lakh	82 bhp	19.4-27.1 kmpl	Petrol/CNG	Current generation
18	Hyundai	Accent	₹5.00 - 7.00 Lakh	93 bhp	13.0 kmpl	Petrol	Discontinued, last known data
19	Hyundai	i20 N-Line	₹9.99 - 12.32 Lakh	118 bhp	20.2 kmpl	Petrol	Current generation
20	Hyundai	Santa Fe	₹27.00 - 32.00 Lakh	194 bhp	13.1 kmpl	Diesel	Discontinued, last known data
21	Hyundai	Kona Electric	₹23.84 - 24.03 Lakh	134 bhp	452 km/charge	Electric	Current generation
22	Hyundai	Sonata	₹19.00 - 20.00 Lakh	175 bhp	12.9 kmpl	Petrol	Discontinued, last known data
23	Hyundai	Creta N Line	₹15.45 - 19.99 Lakh	158 bhp	18.0 kmpl	Petrol	Current generation
24	Hyundai	Getz	₹4.00 - 5.50 Lakh	81 bhp	15.3 kmpl	Petrol	Discontinued, last known data
25	Hyundai	Terracan	₹18.00 - 20.00 Lakh	148 bhp	11.0 kmpl	Diesel	Discontinued, last known data
26	Hyundai	Creta Electric	₹20.00 - 25.00 Lakh (Est.)	~138 bhp (Est.)	~450 km/charge (Est.)	Electric	Expected Launch: Early 2025
27	Hyundai	Ioniq 5	₹46.05 Lakh	215 bhp	631 km/charge	Electric	Current generation
Mercedes-Benz							
